name,address,lat,lng
행신초등학교,경기도 고양시 덕양구 행신동 983-1,37.6217063,126.8369934
행주초등학교,경기도 고양시 덕양구 행주내동 175,37.6033209,126.8246973
대곡초등학교,경기도 고양시 덕양구 대장동 226-2,37.6410069,126.8126151
백양초등학교,경기도 고양시 덕양구 화정동 990,37.6317619,126.8361005
지도초등학교,경기도 고양시 덕양구 화정동 1132,37.6279291,126.8339171
고양화수초등학교,경기도 고양시 덕양구 화정동 860,37.6451448,126.8327312
화중초등학교,경기도 고양시 덕양구 화정동 871,37.6405369,126.8359978
고양화정초등학교,경기도 고양시 덕양구 화정동 942,37.6337354,126.826111
용정초등학교,경기도 고양시 덕양구 화정동 918,37.6402842,126.8295772
고양초등학교,경기도 고양시 덕양구 고양동 236,37.7030317,126.8999337
목암초등학교,경기도 고양시 덕양구 고양동 722,37.714005,126.90466
성라초등학교,경기도 고양시 덕양구 성사동 732,37.6523492,126.8336507
내유초등학교,경기도 고양시 덕양구 내유동 431-7,37.7153948,126.8518566
고양관산초등학교,경기도 고양시 덕양구 관산동 995,37.6919217,126.8665469
성사초등학교,경기도 고양시 덕양구 성사동 716,37.6576405,126.8443046
능곡초등학교,경기도 고양시 덕양구 토당동 278-2,37.6244511,126.8158009
토당초등학교,경기도 고양시 덕양구 토당동 409-12,37.6172937,126.8263013
소만초등학교,경기도 고양시 덕양구 행신동 780,37.6174786,126.8397551
가람초등학교,경기도 고양시 덕양구 행신동 926,37.6233972,126.8421894
남양주덕송초등학교,경기도 남양주시 별내동 813,37.6693466,127.115854
가운초등학교,경기도 남양주시 가운동 677,37.6007077,127.1557955
금교초등학교,경기도 남양주시 도농동 2-17,37.6139033,127.1614686
구룡초등학교,경기도 남양주시 호평동 722,37.6581346,127.2526276
이동초등학교,경기도 포천시 이동면 장암리 253-1,38.028608,127.3684761
청성초등학교,경기도 포천시 군내면 직두리 740,37.874679,127.2233735
영중초등학교,경기도 포천시 영중면 성동리 891-3,38.0146045,127.2484027
영평초등학교,경기도 포천시 영중면 영평리 240,38.0160884,127.2175359
금주초등학교,경기도 포천시 영중면 금주리 522-1,37.9734698,127.2605337
영북초등학교,경기도 포천시 영북면 운천리 342-2,38.0904351,127.2763111
왕방초등학교,경기도 포천시 신읍동 228,37.9042268,127.2023337
외북초등학교,경기도 포천시 신북면 계류리 54-3,37.9465626,127.1874841
신북초등학교,경기도 포천시 신북면 신평리 375,37.9383955,127.220236
창수초등학교,경기도 포천시 창수면 추동리 117-2,37.9897631,127.1819653
관인초등학교,경기도 포천시 관인면 탄동리 664-1,38.1567607,127.2511476
포천삼정초등학교,경기도 포천시 신북면 삼정리 405-1,37.9640567,127.1314589
중리초등학교,경기도 포천시 관인면 중리 209-2,38.1055942,127.2044288
가평마장초등학교,경기도 가평군 가평읍 마장리 357,37.8600748,127.5146007
가평초등학교,경기도 가평군 가평읍 읍내리 553,37.8307432,127.5074893
상색초등학교,경기도 가평군 가평읍 상색리 171-2,37.8052976,127.4850606
대성초등학교,경기도 가평군 청평면 대성리 399-16,37.682755,127.3777147
상천초등학교,경기도 가평군 청평면 상천리 1338,37.7703749,127.456233
청평초등학교,경기도 가평군 설악면 청평리 527 이투스학원,37.7377012,127.4218861
율길초등학교,경기도 가평군 상면 율길리 454-1,37.8377414,127.2884746
연하초등학교,경기도 가평군 상면 연하리 452-1,37.8031925,127.3425054
상면초등학교,경기도 가평군 상면 임초리 445-3,37.7760635,127.3711377
조종초등학교,경기도 가평군 하면 현리 276,37.8213646,127.3490916
목동초등학교,경기도 가평군 북면 이곡리 13-45,37.8799032,127.5492824
조현초등학교,경기도 양평군 용문면 조현리 171-1,37.5225264,127.6161339
양평단월초등학교,경기도 양평군 단월면 보룡리 346-1,37.5393241,127.6726809
청운초등학교,경기도 양평군 청운면 용두리 510-2,37.5545705,127.7133847
곡수초등학교,경기도 양평군 지평면 곡수리 387-1,37.4183557,127.6114885
지평초등학교,경기도 양평군 지평면 지평리 502-2,37.4756212,127.6377367
양동초등학교,경기도 양평군 양동면 석곡리 190,37.4304294,127.7498853
개군초등학교,경기도 양평군 개군면 하자포리 276-1,37.4278354,127.5343465
강상초등학교,경기도 양평군 강상면 신화리 242,37.4735728,127.4791525
세월초등학교,경기도 양평군 강상면 세월리 126-1,37.4364668,127.494659
강하초등학교,경기도 양평군 강하면 운심리 43-2,37.4963562,127.4094414
수입초등학교,경기도 양평군 서종면 수입리 673,37.6448297,127.3753105
정배초등학교,경기도 양평군 서종면 정배리 330,37.6028528,127.4229609
양동초등학교고송분교장,경기도 양평군 양동면 고송리 821-1,37.48657,127.6999157
모당초등학교,경기도 고양시 일산동구 중산동 1684,37.6795306,126.7813027
하늘초등학교,경기도 고양시 일산동구 중산동 1799,37.6772518,126.7901368
풍산초등학교,경기도 고양시 일산동구 풍동 1284,37.6663923,126.7969663
다솜초등학교,경기도 고양시 일산동구 풍동 1232,37.6725071,126.7966637
풍동초등학교,경기도 고양시 일산동구 풍동 1266,37.669396,126.802608
고양백석초등학교,경기도 고양시 일산동구 백석동 1188,37.6517894,126.7892804
